word,count
Compact Refrigerator,1363
Bottom Freezer,1140
Top Freezer,462
Freezerless and Single Door,150
Side-by-Side,90
Compact Cooler,44
Cooler,6
Combiné Inversé REFRIGERATEUR COMBINE,4
BOSCH - R,2
Réfrigérateur 2 portes REFRIGERATEUR 2 PORTES,2
Table Top et Bar Table Top 98L en rÃ©fri et 15L en congÃ©l Classe A+ Blanc,2
Réfrigérateur 1 porte Réfrigérateur intégrable 1 porte,2
1 porte-190 L dt 18 L 4*- 6è Sens Fresh control-Froid brassé-Ecl. LED-Niche 122 cm-Glissières,2
0,2
Design vintage  Froid brassé : diffusion homogène et constante du froid  Classe énergétique A++ pour réaliser des économies d'énergie  Dégivrage automatique  Volume utile total (l): 248  Froid : Brassé  Dont compartiment congélateur : 26  Dégivrage : Auto  Clayettes : 3 verres  Pouvoir de congélation (Kg) : 2kg/24h  Autonomie (h) : 12  ...,2
Upright Freezer,2
Réfrigérateur Combiné Réfrigérateur intégrable Combiné,2
Couleur : Blanc Dimensions H x L x P (cm) : 123.2 x 55 x 57 Classe énergétique : A + Volume net réfrigérateur (L) : 183 Volume net congélateur (L) : 15,1
Fnac.com : Neff K1514X7FF - réfrigérateur - intégrable - Réfrigérateur.,1
Réfrigérateur 1 porte intégrable Neff - KI1313F30,1
"Marque: Neff
Type: Une porte
Capacité: Capacité 224 litres
Installation: Encastrable
Classe d'efficacité énergétique: Classe A++
Consommation d'énergie annuelle: 104 kWh",1
PLUS PRODUIT - Portes réversibles - 3 clayettes verre - 1 bac à légume grand volume transparent - 3 balconnets transparent - 1 balconnet porte bouteille - Congélateur 4* - 2 pieds réglables - Intérieur transparent cristal - Froid brassé - Couleur SILVER Caractéristiques Volume total: brut 317 Volume réfrigérateur: brut 246 Volume congéla...,1
GENERAL Construction Pose libre Tout utile Oui Classe énergétique A + Volume total net (L) 46 Conso. énerg. annuelle (kWh) 110 Classe climatique N-ST (+16 à +38°C) Niveau sonore (dB) 41 Régulation de la température Mécanique Traitement anti-bactérien Non Distributeur 3 fonctions Non Bar intégré (Home Bar) Non Encastrable sous plan Oui Co...,1
Réfrigérateur 1 porte intégrable Neff - KI1813F30,1
Neff K1554X0FF - réfrigérateur avec compartiment freezer - intégrable - Réfrigérateur.,1
Réfrigérateur combiné intégrable Neff - KI7862S30,1
Fnac.com : Neff K4400X7FF - réfrigérateur/congélateur - congélateur bas - intégrable - Réfrigérateur,1
Réfrigérateur 1 porte intégrable Neff - KI2323F30,1
Couleur : Silver Dimensions H x L x P (cm) : 192 x 59.9 x 62.8 Classe énergétique : A + Volume net réfrigérateur (L) : 216 Volume net congélateur (L) : 84,1
"Mini vitrine réfrigérée à poser 78l blanc Casselin CVR78LB Spécialiste dans le domaine du matériel professionnel pour cuisine professionnelle, hôtel, restaurantla marque CASSELIN, forte d´une expérience de plusieurs années à l´international, sélectionne et élabore chaque produit de son catalogue afin de répondre aux exigences du marc...",1
"Electrolux EJ2801AOX2 - réfrigérateur/congélateur - congélateur haut - pose libre - inox,Classe d efficacité énergétique:Classe A+,Type de produit:Réfrigérateur/congélateur - congélateur haut,Consommation d énergie annuelle:242 kWh,Volume utile total:265 litres,Volume utile de réfrigérateur:215 litres,Volume utile de congélateur:50 l...",1
"Mini vitrine réfrigérée à poser 78l noir Casselin CVR78LN Spécialiste dans le domaine du matériel professionnel pour cuisine professionnelle, hôtel, restaurantla marque CASSELIN, forte d´une expérience de plusieurs années à l´international, sélectionne et élabore chaque produit de son catalogue afin de répondre aux exigences du march...",1
Retrouvez tous les produits pour la maison au meilleur prix Klarstein. Achetez Klarstein Pop Art Réfrigérateur Rétro 108l Congélateur 13l Classe A++ -Bleu a prix réduit sur PriceMinister.,1
Retrouvez tous les produits pour la maison au meilleur prix Klarstein. Achetez Klarstein Cachette Minibar Mini Réfrigérateur 17l 50w Classe A+ - Argent a prix réduit sur PriceMinister.,1
Retrouvez tous les produits pour la maison au meilleur prix Klarstein. Achetez Klarstein Beerkeeper Réfrigérateur 92l Classe D'efficacité Énergétique A+ 3 Niveaux - Noir a prix réduit sur PriceMinister.,1
Retrouvez tous les produits pour la maison au meilleur prix Siemens. Achetez Réfrigérateur Combiné Siemens KG33VVL31 - Classe A++ Finition inox a prix réduit sur PriceMinister.,1
Retrouvez tous les produits pour la maison au meilleur prix Klarstein. Achetez Klarstein Beerkeeper Réfrigérateur 92l Classe D'efficacité Énergétique A+ 3 Niveaux - Argenté a prix réduit sur PriceMinister.,1
Retrouvez tous les produits pour la maison au meilleur prix Klarstein. Achetez Klarstein Popart Réfrigérateur Rétro A++ 108 L/13 L Compartiment Congélateur - Rose a prix réduit sur PriceMinister.,1
