word,count
Danby - DBM187E1WDB,6
Table réfrigérée positive  tiroirs,6
Midea - WHS-160RB1,5
Avanti - AR321BB,5
EuroDesign - EDBM192SE,5
GE Profile - PNE21NML****,5
KOOLMORE - KM-RERFDSS-18C,5
GE Profile - PNE25NGL****,5
Whirlpool - WRF532SNH*,5
Avanti - RM3316B,5
Samsung - RT16A6195**,5
RCA - RFR465,4
Marathon - MAR32BLS,4
Avanti - RM4436SS,4
LG - LRTLS2403*,4
Danby - DBMF100B1WDB,4
VITARA - VBFR1800ESE,4
Forno - YFRBI1844-36**,4
GE Profile - PNE25NML****,4
GE Profile - PFE24HML****,4
GE - GBE21AGK****,4
Midea - WHS-65LW1,4
Frigidaire - FPHT2097V*,4
Zephyr - PRB24C01CBSG,4
RCA - RFR176-B-RED,4
Smad - DDT-663W***,4
Frigidaire - GRMS2773A*,4
Danby - DCR041C1*,4
RCA - RFR320,4
GE - GTE19JSN****,4
GE - GTE19DTN****,4
Insignia - NS-CF33SS3-C,4
Moffat - MNE18DYTNFS,4
Whirlpool - WRB533CZJ***,4
LUBECK - FD216SS,4
Fisher & Paykel - RS36W(X),4
Marathon - MCR44BLS,4
Ikea - IRT134FD*0*,4
Table réfrigérée positive  porte et  tiroirs,4
Commercial Cool - CCRR4ALB,4
GE - GTE18DCN****,4
Jenn-Air - JBRF*30IGX**,4
Kegco - MDC445-1**,4
Hisense - WMS017M6XBE,4
Monogram - ZIC360NN****,3
MICROFRIDGE with SAFE PLUG - 2.5MF4*,3
Monogram - ZIR301NPN****,3
Miele - KF 2901 SF,3
ELEMENT - EATW15000SS,3
Insignia - NS-RFD21CI******,3
Thermador - T30IB900SP,3
Thermador - T30IR901SP,3
WINIA - WRFS26S***,3
Criterion - CFRR255WD#*,3
Hisense - HRQ215N6BVE,3
GE - GTE19JTN****,3
Monogram - ZICS360NN****,3
GE - GSE23GYP****,3
Frigidaire - EFR182,3
ELEMENT - EATW15000B,3
XO - XOU24WDZGBSR,3
XO - XOU24WDZGBSL,3
CHiQ - CQRT10Y1GD1S,3
Whirlpool - WRT312CZJ***,3
U-Line - DR124,3
Magic Cool - MCR32J3S,3
LG - LMWS27626*,3
RCA - RFR322-B,3
Summit - CP34W,3
RCA - EFR331,3
Midea - HD-332RWEN,3
Frigidaire - FGHT2055V*,3
Insignia - NS-RFD26XSS0-C,3
RCA - RFR160-D-PURPLE,3
VITARA - VBFR1800ESSE,3
MicroFridge - 4.8LMF4RHW,3
MicroFridge - 4.8RMF4RHW,3
Danby - DBMF100B1SLDB,3
Forno - YFFFD1974-31**,3
VITARA - VBFR1800ESE-C,3
Avanti - RA32J3S,3
Summit - FF1118WH,3
Avanti - RA32J1B,3
MicroFridge - 4.8LMF4RH,3
Magic Chef - MCDR1000ST,3
Avanti - RA32J0W,3
Samsung - RF28T5101**,3
Summit - CP34BSS,3
Frigidaire - FFPS4533UU,3
Marvel - MPRE424-SG31A,3
GE Profile - PFE28PYN****,3
Magic Chef - HMDR1000WF,3
RCA - RFR115,3
XO - XOU15WGBSR,3
"FULGOR MILANO, VITARA - FM4BM30FBI",3
CHiQ - CQRT12Y1GD1S,3
Jenn-Air - JBRF*36IGX**,3
GE Profile - PFE24HGL****,3
GE - GNE21DYR****,3
Insignia - NS-RBM11WH2-C,3
Insignia - NS-RBM11WH2,3
Ikea - 20522287,3
UNIQUE - UGP-230L LG AC,3
GE - GBE17HYR****,3
KitchenAid - KRFF507H**0*,3
Maytag - MFT2772HE*0*,3
Whirlpool - WRF757SDH*0*,3
Whirlpool - WRF767SDH*0*,3
GE Profile - PYE18HML****,3
Magic Chef - HMBR440BEF,3
Avanti - RM3306W,3
Thermador - T24UR920RS,3
GE - GNE25DYR****,3
GE - GNE27ESM****,3
GE - GFE26JMM****,3
GE - GFE26JEM****,3
LG - LFXS28596*,3
Magic Chef - HMBR440WE,3
Magic Chef - HMBR440BE,3
Magic Chef - HMBR440WEF,3
Whirlpool - WRF540CWH*,3
Ikea - IX7DDEXGZ*,3
GE - GTE16DTN****,3
GE - GTE16GTN****,3
Kenmore - 6935*,3
Whirlpool - WRB329*FB*,3
Cafe - CYE22TP*M***,3
GE Adora - DFE24JYR****,3
GE Profile - PNE21NYR****,3
AVG - ARBM172WE,3
Bosch - B36CL80SN*,3
GE - GTE18FML****,3
Silhouette Professional - DKC055D1SSPRO-1,3
GE - GNE25DGK****,3
UNIQUE - UGP-215L C AC,3
Danby - DFF121C2*,3
Avanti - RM52T1BB,3
Miele - KF 2902 Vi,3
Master Chef - 043-0291-4,3
Arcitc King - ATMP032AES,3
Frigidaire - FRSS2333A*,3
"FULGOR MILANO, VITARA - FM4BM30IFBI",3
Arcitc King - ATMP032AEB,3
Keystone - KSTRC312CW,3
Keystone - KSTRC312CB,3
KOOLMORE - RERFDSS-22C,3
Comfee - CRR33S3ABB,3
DCS - RF24*E4,3
Twin Eagles - TEOR24-G,3
GE - GNE27EYM****,3
VITARA - VTFR1803EWE,3
GE Profile - PYE18HYR****,3
GE - GFE24JYK****,3
GE - GDE21EYK****,3
GE - GBE21DYK****,3
Samsung - RF25HM*DB**,3
Frigidaire - EFR107-WHITE,3
RCA - RFR115-C-BLACK,3
Insignia - NS-CF33BK#***,3
