title,link,description,price
Réfrigérateur Combiné  GNE 134620   Classe A+ Acier inoxydable,https://www.quelfrigo.com/refrigerateur-americain/beko/refrigerateur-combine-gne-134620-classe-a-acier-inoxydable-2202.html,"Classe climatique SN-T : cet appareil peut fonctionner de façon optimale même s’il est mis à proximité d’un foyer de chaleur (cuisinière, four, etc.).Classe d’efficacité énergétique A+ : ce qui en fait l’un des modèles qui consomment le moins d’énergie dans sa catégorie. Réfrégirateur américain : cet appareil comporte un co...","1262,00€"
Réfrigérateur Combiné  RS7577THCSP  Classe A+ Inox platiné,https://www.quelfrigo.com/refrigerateur-americain/samsung/refrigerateur-combine-rs7577thcsp-classe-a-inox-platine-3176.html,"- Combiné réfrigérateur congélateur, à 2 portes, de couleur platinum inox, il dispose de plusieurs « plus » : un distributeur deau fraîche purifiée, de glaçons et de glace pilée en façade, un home bar soft touch pour accéder dune simple pression du doigt à vos bouteilles depuis lextérieur.- Technologie du Total N...","1228,00€"
Réfrigérateur Combiné  KDV29VW30  Classe A++ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/bosch/refrigerateur-combine-kdv29vw30-classe-a-blanc-950.html,"Ce réfrigérateur comprend deux compartiments : le compartiment de réfrigération est équipé de 4 rayons en verre incassable, de clayettes à bouteilles chromées et d'un bac à légume. Le congélateur possède un volume important de 70L et le réfrigérateur 194L soir 264L au total.
Consommation : ce frigo  consomme 204 KWh par an en raison ...","423,69€"
Réfrigérateur Combiné  NCAA 55  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/indesit/refrigerateur-combine-ncaa-55-classe-a-blanc-2204.html,Système d'appoint durant 15 heures en cas de panne.Classe climatique SN-ST : pour fonctionner sous une température ambiante de +10°C à +38°C.Classe d'efficacité énergétique A+ ce qui en fait l'un des modèles les plus économes disponibles sur le marché offrant des économies d'énergie jusqu'à 25 % en moyenne.Clayettes en verre sécurit...,"276,39€"
Réfrigérateur  KSV36VL30  Classe A++ Acier inoxydable,https://www.quelfrigo.com/refrigerateur+1+porte/bosch/refrigerateur-ksv36vl30-classe-a-acier-inoxydable-74.html,"Grand volume : le modèle KSV 36 VL 30 de Bosch est un réfrigérateur à la capacité de 346L. Cet appareil peut s'installer dans un endroit ayant un climat situé entre 10 et 43°C pour un meilleur fonctionnement.
Classe énergétique A++ : donc assure une économie d'énergie de 50% par rapport à la classe A.
Caractéristiques : cet appareil e...","605,79€"
Réfrigérateur Combiné  EBLH 18223 O3   Classe A+ Inox,https://www.quelfrigo.com/refrigerateur-avec-congelateur/hotpoint-ariston/refrigerateur-combine-eblh-18223-o3-classe-a-inox-1076.html,"Classe énergétique A+.  Cet appareil est à la fois écologique et économique. Avec ce modèle, la consommation d'énergie est réduite de 25 % par rapport à la catégorie A.Volume de stockage important de 300 litres. Le congélateur dispose d'un volume de 73 litres et le compartiment réfrigérateur a une capacité de 210 litres. Ce mod�...","628,00€"
Réfrigérateur Combiné  CAA 55  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/indesit/refrigerateur-combine-caa-55-classe-a-blanc-1002.html,Système d'appoint en cas de défaillance : 17 heures.Classe climatique SN-ST : ce modèle peut tourner à une température ambiante de +10°C à +38°C.Classe d'efficacité énergétique A+. Ce modèle vous permettra faire économiser de l'énergie de 25% comparé à un modèle classique.Étagères réglables en verre sécurit étanche et r�...,"326,48€"
Réfrigérateur Combiné  WTE2511A+W  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/whirlpool/refrigerateur-combine-wte2511a-w-classe-a-blanc-1183.html,Classe d'efficacité énergétique A+ : pour réduire votre consommation d'énergie et réduire ainsi votre facture énergétique jusqu'à 25%. Sa consommation annuelle est de 223kWh. Il s'agit donc d'un des modèles les moins énergivores disponibles sur le marché.Volume utile de  252 litres. Le  congélateur a une capacité de 53 litres et...,"482,19€"
Réfrigérateur  portes 401 litres  KDV47VL30,https://www.quelfrigo.com/refrigerateur-avec-congelateur/bosch/refrigerateur-portes-401-litres-kdv47vl30-1462.html,"Capacité : ce réfrigérateur congélateur de BOSCH propose un volume assez important. La cellule de réfrigération dispose de 315 L et le congélateur 86 L, ce qui fait un total de 401 L. il offre un espace important pour la conservation de vos aliments.
Basse consommation : ce modèle ingurgite 245 kWh par an d'électricité en raison de sa cl...","601,00€"
Réfrigérateur Combiné  WTE3322A+NFTS  Classe A+ Inox,https://www.quelfrigo.com/refrigerateur-avec-congelateur/whirlpool/refrigerateur-combine-wte3322a-nfts-classe-a-inox-994.html,Autonomie de 12 heures pour préserver la qualité de vos aliments lors d'une coupure électrique.Système d'air brassé pour une meilleure homogénéité du froid dans le réfrigérateur. Ce système vous permet de disposer vos produits suivant vos convenances.Classe énergétique A+ pour économiser beaucoup grâce à sa très légère consommat...,"584,80€"
Réfrigérateur  KS36VAI31  Classe A++ Inox/argent,https://www.quelfrigo.com/refrigerateur+1+porte/siemens/refrigerateur-ks36vai31-classe-a-inox-argent-3189.html,"- Réfrigérateur à une porte, sans freezer, de couleur inox. - Modèle en pose libre avec porte réversible. Ce modèle trouvera aisément une place dans la cuisine.- Technologie du froid brassé : un ventilateur rend la température homogène et elle se rétablit rapidement après ouverture. La conservation des aliments est prolongée jusqu'à 3...","880,18€"
Réfrigérateur/congélateur  pose libre  largeur  81.7 cm  profondeur  77.4 cm  hauteur  177.2 cm  452 litres  style français  classe A+  inox platiné,https://www.quelfrigo.com/refrigerateur-americain/samsung/refrigerateur-congelateur-pose-libre-largeur-81-7-cm-profondeur-77-4-cm-hauteur-177-2-cm-452-litres-style-francais-classe-a-inox-platine-1108.html,Classe climatique N-ST : vous pouvez installer votre appareil dans un local où la température ambiante varie de +16 °C à +38 °C.Classe énergétique A+ cet appareil est très économique. Il permet de réduire la consommation énergétique de 25 %. Cette note est la meilleure sur une liste variant entre A et G.Dispositif d...,"1006,38€"
Réfrigérateur Combiné  KIV34V21FF  Classe A+,https://www.quelfrigo.com/refrigerateur-avec-congelateur/bosch/refrigerateur-combine-kiv34v21ff-classe-a-1006.html,"Dispositif de refroidissement à compresseur pour une économie d’énergie substantielle. Ce système étant à l’heure actuelle le moins énergivore de tous.Autonomie de 16 heures en cas de panne d'électricité, ceci pour conserver la qualité de vos aliments durant plus d’une demi-journée.Cuve anti-bactérienne pour un intérieur désinf...","506,71€"
Réfrigérateur Combiné  DSA28021  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/beko/refrigerateur-combine-dsa28021-classe-a-blanc-1829.html,Système d'appoint en cas de panne : autonome 12 heures.Classe climatique SN-ST : ce frigo peut fonctionner de façon optimale à une température ambiante de +10° à +38° C.Classe énergétique A+. Cet appareil vous permettra épargner de l'énergie car il est 25% plus économe qu'un modèle classique.Clayettes en verre sécurit qui résis...,"301,00€"
Réfrigérateur Combiné  TAA 5   Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/indesit/refrigerateur-combine-taa-5-classe-a-blanc-2648.html,"- Type dappareil : appareil de réfrigération qui réunit réfrigérateur et congélateur.- Capacité : lappareil dispose de 414 litres pour accueillir un maximum daliments destinés à la conservation.- Fonctionnalités de congélation : la machine montre une autonomie impressionnante, elle parvient aisément à conserver pendant 22 heures ...","375,40€"
Réfrigérateur Américain  Rsg5pubc,https://www.quelfrigo.com/refrigerateur-americain/samsung/refrigerateur-americain-rsg5pubc-2810.html,"- Réfrigérateur américain d’un volume total de 610 litres (406 L pour le réfrigérateur, 204 L pour le congélateur) bénéficiant de la classe énergétique A+ . En moyenne, sa consommation sera inférieure de 25 % par rapport à un classe A. Coût estimée d’utilisation par an : 60 euros. - Le congélateur dispose d’un pouvoir de congé...","1524,00€"
Ref US pose libre  HRF-628IF6,https://www.quelfrigo.com/refrigerateur-americain/haier/ref-us-pose-libre-hrf-628if6-3423.html,"- La fonction « vacances » est bien pratique. Durant vos temps d’absences, vous allez pouvoir éteindre la partie le réfrigérateur tout en laissant en marche le congélateur.- Le distributeur d’eau en façade vous permettra d’avoir tout au long de l’année à portée de main de l’eau fraîche, mais également des glaçons et de la gla...","805,88€"
Réfrigérateur  KSV36VL40  Classe A+++ Acier inoxydable,https://www.quelfrigo.com/refrigerateur+1+porte/bosch/refrigerateur-ksv36vl40-classe-a-acier-inoxydable-631.html,"Grande taille : ce réfrigérateur de couleur argentée offre un important volume de stockage qui va jusqu'à 346 L. il dispose d'un compartiment de réfrigération équipée de 7 clayettes en verre incassable, dont 5 réglables en hauteur, 6 coulissantes EasyAccess et de 5 balconnets, dont 1 compartiment crèmerie.
Faible consommation : cet appar...","817,00€"
Réfrigérateur Combiné  KIV38V20FF  Classe A+,https://www.quelfrigo.com/refrigerateur-avec-congelateur/bosch/refrigerateur-combine-kiv38v20ff-classe-a-3311.html,- Le modèle KIV38V20FF de Bosch est un réfrigérateur à deux compartiments : un réservé à la réfrigération et un réservé à la congélation. Cet appareil supporte une capacité de 277L dont 222 dans le réfrigérateur et 72 dans le congélateur.- Classe énergétique  A+ : donc moins énergivore par rapport aux autres appareils du type A ...,"606,78€"
Réfrigérateur top  TSE1402F,https://www.quelfrigo.com/refrigerateur-top/beko/refrigerateur-top-tse1402f-66.html,"Compact : ce réfrigérateur table top de couleur blanche, trouvera sa place dans toutes les cuisines
Capacité: le modèle TSE 1402F de BEKO a une capacité 130 litres.
Froid statique : double système qui crée des zones de température et d'humidité différentes, permettant de conserver la qualité des aliments avec un dégivrage automatique
�...","193,78€"
Réfrigérateur Combiné  WTE3113W  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/whirlpool/refrigerateur-combine-wte3113w-classe-a-blanc-1059.html,Classe  énergétique A+ : il s'agit donc d'un des modèles les plus économes dans sa catégorie. Ce réfrigérateur vous permettra épargner de l'énergie car il est 25% plus économe comparé à un réfrigérateur classique. Sa consommation énergétique est de 277kWh par an.Niveau sonore de 39 dB pour un confort d'utilisation. Ce modèle ...,"400,00€"
Réfrigérateur Combiné  KDV29VW31  Classe A++ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/bosch/refrigerateur-combine-kdv29vw31-classe-a-blanc-1586.html,"Double fonction : le réfrigérateur KDV29VW31 de Bosch fait office à la fois de réfrigérateur et de congélateur. La cellule principale est équipée d'un compartiment pour les fruits et légumes, de 4 clayettes en verre et de 3 balconnets qui constituent un volume total de 194 L pour vos aliments.
Consommation : l'appareil est classé niveau ...","479,73€"
RL4363FBASL Réfrigérateur congélateur en bas,https://www.quelfrigo.com/refrigerateur-avec-congelateur/samsung/rl4363fbasl-refrigerateur-congelateur-en-bas-3508.html,"- Grâce au distributeur situé sur la porte de droite, vous aurez tout au long de l'année (surtout l'été), à portée de la main, une eau fraîche et pure.- Ce réfrigérateur américain d'un volume total de 432 litres présente l'écolabel A++. Dans le détail, il consommera en moyenne 20 % d'énergie en moins qu'un même frigo appartenant à ...","731,21€"
Réfrigérateur  Group KIR24V21FF  Classe A+,https://www.quelfrigo.com/refrigerateur+1+porte/bosch/refrigerateur-group-kir24v21ff-classe-a-77.html,"Classe d'efficacité énergétique A+, ce qui en fait l'un des modèles les plus économes dans sa catégorie. Ce modèle vous permettra de réduire votre facture énergétique jusqu'à 25 % en moyenne.Volume de stockage  de  224 litres. En outre, ce modèle ne dispose pas d'un freezer, d'où davantage d'espace aux aliments frais.Traitement antiba...","435,86€"
Réfrigérateur Combiné  KD33EAI40  Classe A+++ Acier inoxydable,https://www.quelfrigo.com/refrigerateur-avec-congelateur/siemens/refrigerateur-combine-kd33eai40-classe-a-acier-inoxydable-1225.html,25 heures d'autonomie en cas de panne de courant pour maintenir la qualité de vos denrées alimentaires pendant un maximum de temps.Mode vacances : cette option permet de régler la température du réfrigérateur à 14°C tout en laissant le congélateur fonctionner normalement. Ceci pour vous faire profiter d'une économie d'énergie pendant vo...,"810,35€"
Réfrigérateur  KIR18V20FF  Classe A+,https://www.quelfrigo.com/refrigerateur-top/bosch/refrigerateur-kir18v20ff-classe-a-23.html,Classe climatique SN-ST : ce frigo peut fonctionner dans une pièce où règne une température ambiante qui va de +10°C à +38°C.Classe énergétique A+ il s'agit donc d'un des modèles les moins gourmands en énergie dans sa catégorie. Ce réfrigérateur vous permettra de réduire votre facture d'électricité puisqu'il ne consomme que 1...,"401,54€"
Réfrigérateur  KSV29NW30  Classe A++ Blanc,https://www.quelfrigo.com/refrigerateur+1+porte/bosch/refrigerateur-ksv29nw30-classe-a-blanc-3027.html,"Grande contenance : cet appareil réfrigérant possède un volume de 290 L. Son compartiment principal est doté d'un CrisperBox qui est idéal pour le stoc107e de légumes et des fruits à travers son contrôle d'humidité, de 5 clayettes en verre incassable, dont 3 réglables en hauteur, 4 sont coulissantes EasyAccess et enfin de 4 balconnets.
C...","499,00€"
Réfrigérateur Combiné  RBC275E  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/oceanic/refrigerateur-combine-rbc275e-classe-a-blanc-3365.html,"- Une autonome très importante en cas de coupure de courant. N’ayez aucune crainte pour vos aliments et produits en cas de coupure d’électricité. 19 heures, c’est la durée de conservation en cas d’imprévu qu’offre ce modèle.Ce modèle dispose d’un volume net de 275 litres. 205 litres pour le réfrigérateur et 70 litres pour le co...","358,00€"
Réfrigérateur Combiné  KDV47VW30  Classe A++ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/bosch/refrigerateur-combine-kdv47vw30-classe-a-blanc-1261.html,Modèle à 4 étoiles : Ce modèle 2 porte dispose d'un réfrigérateur de 315 l et d'un congélateur de 86 litres en haut pour vous permettre de conserver vos aliments et vos surgelés jusqu'à leur date d'expiration. Convient parfaitement pour le stockage des aliments d'une famille de 4 personnes et plus.12 kg/ 24 h de congélation pou...,"589,00€"
Réfrigérateur Combiné  ART 364/A+/5  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur-avec-congelateur/whirlpool/refrigerateur-combine-art-364-a-5-classe-a-blanc-1315.html,Niveau sonore maximum de 35 dB pour un confort d'utilisation optimum. Ce réfrigérateur n'émet qu'un léger murmure.Les clayettes transparentes sont fabriquées en verre incassable. Les clayettes extra larges sont solides et peuvent accueillir sans problèmes des articles lourds et encombrants.Fonction de dégivrage automatique pour une absence ...,"477,03€"
Réfrigérateur  ARC104/1A+  Classe A+ Blanc,https://www.quelfrigo.com/refrigerateur+1+porte/whirlpool/refrigerateur-arc104-1a-classe-a-blanc-755.html,"Classe climatique N-ST : ce réfrigérateur peut fonctionner dans un environnement exposé à une température ambiante variant de +16°C à +38°C.Classe d'efficacité énergétique A+, ce qui en fait l'un des modèles les moins énergivores dans sa catégorie. Cet appareil vous permettra de réduire votre facture énergétique de 25% en moyenne ...","252,56€"
